YYYYMM,Label,Insight
200101,2001 Q1,"As we start our exploration, Russia has the lion's share of 2600-plus Grandmasters at 25.  Western Europe (Germany, France, England) have a smattering as does the USA.   India has only 2. "
200104,2001 Q2,Things have not changed much.  Armenia and the former Soviet Central Asian republics such as Azerbaijan have a smattering and Holland has 4.
200107,2001 Q3,"China now has 4. France is up to 7, Hungary and the USA sit at 5.  Russia dipped a little to 24."
200110,2001 Q4,"Germany is now up to  7, Russia is back to 25, USA is at 6 and Israel is at 4. Former Soviet GMs often emigrate to Israel and possibly further on."
200201,2002 Q1,China is still at 4 and Germany at 7. Future powerhouse India is only at 1. Russia is down to 23 and Ukraine and USA have 4. 
200204,2002 Q4,"China is up to 5, France at 6, and Germany still at 7.  Holland has 4 and USA moves up to 8. Of these, 1 is inactive (Fischer), and 6 are from former Soviet republics. Only 1 (Seirawan) grew up playing in USA."
200207,2002 Q3,"China and England have 5.  Holland has 6 and Russia has 24. USA now has 9, with the addition of one more native USA player J Benjamin."
200210,2002 Q4,"France at 5, Germany at 7, Hungary 3 and India now 2.  Russia 24 and Ukraine 5. USA back to 8. "
200301,2003 Q1,"China back down to 3.  England and Germany at 5 and France 4.  Of the 5 Germans, 3 are from former Soviet republics.  Russia now has 27 and USA 7. "
200304,2003 Q2,"Russia is up to 28.  Switzerland has 2 including famous ex-Soviet Viktor Korchnoi and home-grown Yannick Pelletier.  Ukraine has 5 and USA 6 (1 inactive, Fischer, 4 from former Soviet republics, and Seirawan)."
200307,2003 Q3,Armenia is up to 6.  China has 3 and England now has 6 (scholastic programs).  Holland has 5 and Russia is at 28.  Ukraine down to 4 and USA still at 6.
200310,2003 Q4,"China up to 4.  England, France and Germany all at 6. India still at only 2.  Russia lost one to 27 and Ukraine gained one to 5. USA still at 6. "
200401,2004 Q1,"China increases to 5. Ukraine up one to 5, and USA gains 2 to 8. Of these, 1 retired (Fischer), 6 from former Soviet republics, and one home-grown (Seirawan)."
200404,2004 Q2,"China back down to 4.  England at 6, Germany and Hungary and Israel at 4.  The Israelis all were born in former USSR republics: Azerbaijan, Kazakhstan, and 2 Byelorussian.  Russia down to 26, Ukraine at 6, and USA up to 9.  Boris Gulko, former USSR champion, joins the US cohort."
200407,2004 Q3,"Kazakhstan has 3, Holland has 4, and Poland 3.  Russia is now at 27, and USA 10.   For the first time, home-grown Nakamura joins Seirawan for USA, the rest are former-USSR or retired (Fischer)."
200410,2004 Q4,"Armenia holding at 5, England at 6, Spain at 3.  Georgia has 4 and Germany 5, Hungary 6.  India is at 3.  Russia 27 and USA loses one, to 9 (Novikov dropped). Ukraine has 6 and Russia 27."
200501,2005 Q1,"Armenia now up to 6. China and Spain at 3, England at 6. India still at 3, and Holland at 5. Russia now up to 29.  Ukraine has 7 and USA, 9. "
200504,2005 Q2,"Germany now at 8, of these, 5 are from former USSR republics and 3 are home-grown.  Hungay at 5 and India still at 3. Russia now has 31 including young players such as Belov, Inarkiev, Grischuk and Jakovenko, and Armenia 6. "
200507,2005 Q3,"Bulgaria has 4, China is up to 5.  Russia down one to 30, and Armenia at 6.  Ukraine has 9 and USA has 8."
200510,2005 Q4,"China back down to 4.   Georgia at 5 and England at 6.  India holding at 3. Israel at 5 (Roiz played most of his life in Israel although he started in Russia) and Holland also at 5.  Russia at 27 and Ukraine and USA both at 9.  For USA,  6 from former Soviet republics, 2 home-grown (Nakamura and Seirawan), and one retired (Fischer)."
200601,2006 Q1,"Armenia is at 6. Azerbaijan has moved up to 4, and China is up to 5. England and France and Germany at 6.  India still at 3. Poland up to 5 with younger players Wojtasek and Miton added. Russia has 29, Ukraine has 10 with young players Karjakin, Areshchenko, Volokitin and Ponomariov and USA has 9 (6 ex-Soviet, 2 homegrown, and 1 retired)."
200604,2006 Q2,"France and Germany and England still 6.  For France, 4 are homegrown are 2 are ex-Soviet. Germany has 3 ex-Soviet. England is all homegrown. Norway now has one, Magnus Carlsen born in 1990 (future World Champion).  Ukraine has 10 and USA, 9. "
200607,2006 Q3,"Armenia down to 5, Vaganian dropped off.  Bulgaria has 4 and China has 7.  France down to 4 (3 homegrown, 1 ex-Soviet) and Germany down to 3 (2 ex-Soviet plus homegrown Robert Huebner).  Russia has 29 (4 of which are juniors), Ukraine 10 and USA 8. "
200610,2006 Q4,"Armenia steady at 5, England and Georgia have 6, Germany and Hungary 5, and India at 3.  Israel now has 6.  Russia at 28 and Ukraine is up to 11.  USA has dropped to 7 (4 are ex-Soviet)."
